From Timestamp,E_PV_Res,E_PV_Oth
14-05-2017 00:00,245855.13,1453282.25
14-05-2017 00:05,245855.13,1453282.25
14-05-2017 00:10,245855.13,1453282.25
14-05-2017 00:15,245855.13,1453282.25
14-05-2017 00:20,245855.13,1453282.25
14-05-2017 00:25,245855.13,1453282.25
14-05-2017 00:30,245855.13,1453282.25
14-05-2017 00:35,245855.13,1453282.25
14-05-2017 00:40,245855.13,1453282.25
14-05-2017 00:45,245855.13,1453282.25
14-05-2017 00:50,245855.13,1453282.25
14-05-2017 00:55,245855.13,1453282.25
14-05-2017 01:00,245855.13,1453282.25
14-05-2017 01:05,245855.13,1453282.25
14-05-2017 01:10,245855.13,1453282.25
14-05-2017 01:15,245855.13,1453282.25
14-05-2017 01:20,245855.13,1453282.25
14-05-2017 01:25,245855.13,1453282.25
14-05-2017 01:30,245855.13,1453282.25
14-05-2017 01:35,245855.13,1453282.25
14-05-2017 01:40,245855.13,1453282.25
14-05-2017 01:45,245855.13,1453282.25
14-05-2017 01:50,245855.13,1453282.25
14-05-2017 01:55,245855.13,1453282.25
14-05-2017 02:00,245855.13,1453282.25
14-05-2017 02:05,245855.13,1453282.25
14-05-2017 02:10,245855.13,1453282.25
14-05-2017 02:15,245855.13,1453282.25
14-05-2017 02:20,245855.13,1453282.25
14-05-2017 02:25,245855.13,1453282.25
14-05-2017 02:30,245855.13,1453282.25
14-05-2017 02:35,245855.13,1453282.25
14-05-2017 02:40,245855.13,1453282.25
14-05-2017 02:45,245855.13,1453282.25
14-05-2017 02:50,245855.13,1453282.25
14-05-2017 02:55,245855.13,1453282.25
14-05-2017 03:00,245855.13,1453282.25
14-05-2017 03:05,245855.13,1453282.25
14-05-2017 03:10,245855.13,1453282.25
14-05-2017 03:15,245855.13,1453282.25
14-05-2017 03:20,245855.13,1453282.25
14-05-2017 03:25,245855.13,1453282.25
14-05-2017 03:30,245855.13,1453282.25
14-05-2017 03:35,245855.13,1453282.25
14-05-2017 03:40,245855.13,1453282.25
14-05-2017 03:45,245855.13,1453282.25
14-05-2017 03:50,245855.13,1453282.25
14-05-2017 03:55,245855.13,1453282.25
14-05-2017 04:00,245855.13,1453282.25
14-05-2017 04:05,245855.13,1453282.25
14-05-2017 04:10,245855.13,1453282.25
14-05-2017 04:15,245855.13,1453282.25
14-05-2017 04:20,245855.13,1453282.25
14-05-2017 04:25,245855.13,1453282.25
14-05-2017 04:30,245855.13,1453282.25
14-05-2017 04:35,245855.13,1453282.25
14-05-2017 04:40,245855.13,1453282.25
14-05-2017 04:45,245855.13,1453282.25
14-05-2017 04:50,245855.13,1453282.25
14-05-2017 04:55,245855.13,1453282.25
14-05-2017 05:00,245855.13,1453282.25
14-05-2017 05:05,245855.13,1453282.25
14-05-2017 05:10,245855.13,1453282.25
14-05-2017 05:15,245855.13,1453282.25
14-05-2017 05:20,245855.13,1453282.25
14-05-2017 05:25,245855.13,1453282.25
14-05-2017 05:30,245855.13,1453282.25
14-05-2017 05:35,245855.13,1453282.25
14-05-2017 05:40,245855.13,1453282.25
14-05-2017 05:45,245855.13,1453282.25
14-05-2017 05:50,245855.13,1453282.25
14-05-2017 05:55,245855.13,1453282.25
14-05-2017 06:00,245855.13,1453282.25
14-05-2017 06:05,245855.13,1453282.25
14-05-2017 06:10,245855.13,1453282.25
14-05-2017 06:15,245855.13,1453282.25
14-05-2017 06:20,245855.13,1453282.25
14-05-2017 06:25,245855.13,1453282.25
14-05-2017 06:30,245855.13,1453282.25
14-05-2017 06:35,245855.13,1453282.25
14-05-2017 06:40,245855.13,1453282.25
14-05-2017 06:45,245855.13,1453282.25
14-05-2017 06:50,245855.13,1453282.25
14-05-2017 06:55,245855.13,1453282.25
14-05-2017 07:00,245855.13,1453282.25
14-05-2017 07:05,245855.13,1453282.25
14-05-2017 07:10,245855.13,1453282.25
14-05-2017 07:15,245855.13,1453282.28
14-05-2017 07:20,245855.13,1453282.41
14-05-2017 07:25,245855.15000000002,1453282.73
14-05-2017 07:30,245855.35,1453283.4799999997
14-05-2017 07:35,245855.72999999998,1453284.5899999999
14-05-2017 07:40,245856.25,1453286.2300000004
14-05-2017 07:45,245856.86000000002,1453288.3599999999
14-05-2017 07:50,245857.88999999996,1453291.1600000001
14-05-2017 07:55,245859.43999999997,1453295.6900000004
14-05-2017 08:00,245860.87,1453300.4199999995
14-05-2017 08:05,245861.78999999998,1453303.54
14-05-2017 08:10,245863.43000000002,1453307.9399999997
14-05-2017 08:15,245866.63000000006,1453318.4600000004
14-05-2017 08:20,245869.79,1453328.6800000002
14-05-2017 08:25,245872.65999999997,1453338.7099999995
14-05-2017 08:30,245875.04,1453344.82
14-05-2017 08:35,245876.87000000002,1453349.1200000003
14-05-2017 08:40,245877.89000000004,1453351.7399999995
14-05-2017 08:45,245878.85,1453354.3399999994
14-05-2017 08:50,245879.87999999998,1453357.1700000002
14-05-2017 08:55,245882.62000000002,1453364.29
14-05-2017 09:00,245884.90999999997,1453372.3900000004
14-05-2017 09:05,245888.47999999998,1453384.2399999998
14-05-2017 09:10,245890.83,1453392.1799999997
14-05-2017 09:15,245893.5,1453399.62
14-05-2017 09:20,245897.89,1453409.509999999
14-05-2017 09:25,245902.58999999997,1453422.2699999996
14-05-2017 09:30,245905.47999999995,1453429.1699999997
14-05-2017 09:35,245909.93000000002,1453437.7599999998
14-05-2017 09:40,245913.83000000005,1453447.9699999995
14-05-2017 09:45,245918.25999999995,1453457.45
14-05-2017 09:50,245923.01999999996,1453469.1900000004
14-05-2017 09:55,245926.02000000002,1453479.2599999998
14-05-2017 10:00,245932.66999999998,1453496.0899999999
14-05-2017 10:05,245936.21000000002,1453503.52
14-05-2017 10:10,245937.76,1453507.3499999999
14-05-2017 10:15,245939.91000000003,1453512.4200000002
14-05-2017 10:20,245945.98000000004,1453526.4899999998
14-05-2017 10:25,245952.24000000005,1453542.38
14-05-2017 10:30,245958.13,1453558.3699999999
14-05-2017 10:35,245965.94,1453576.0199999996
14-05-2017 10:40,245973.97000000003,1453593.8499999999
14-05-2017 10:45,245982.37000000002,1453613.6099999996
14-05-2017 10:50,245991.52,1453634.5799999998
14-05-2017 10:55,245999.59,1453653.9199999995
14-05-2017 11:00,246008.43000000002,1453672.2599999998
14-05-2017 11:05,246016.00999999995,1453688.7000000002
14-05-2017 11:10,246020.24,1453699.4599999995
14-05-2017 11:15,246025.98,1453712.5999999999
14-05-2017 11:20,246030.65999999995,1453722.2900000003
14-05-2017 11:25,246035.67,1453734.4400000002
14-05-2017 11:30,246043.75,1453747.9499999997
14-05-2017 11:35,246052.17,1453769.5599999996
14-05-2017 11:40,246059.53000000003,1453787.56
14-05-2017 11:45,246066.12999999995,1453801.8999999997
14-05-2017 11:50,246074.38999999998,1453815.12
14-05-2017 11:55,246078.11,1453824.9300000002
14-05-2017 12:00,246080.93000000002,1453831.21
14-05-2017 12:05,246082.36,1453834.7400000005
14-05-2017 12:10,246083.87000000002,1453837.99
