From Timestamp,E_PV_N1,E_PV_N3,E_PV_N4,E_PV_S1,E_PV_S2,E_PV_S3,E_PV_Oth
14-05-2017 00:00,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 00:05,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 00:10,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 00:15,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 00:20,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 00:25,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 00:30,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 00:35,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 00:40,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 00:45,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 00:50,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 00:55,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:00,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:05,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:10,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:15,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:20,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:25,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:30,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:35,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:40,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:45,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:50,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 01:55,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:00,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:05,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:10,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:15,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:20,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:25,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:30,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:35,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:40,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:45,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:50,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 02:55,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:00,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:05,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:10,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:15,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:20,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:25,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:30,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:35,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:40,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:45,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:50,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 03:55,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 04:00,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 04:05,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 04:10,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 04:15,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 04:20,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 04:25,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 04:30,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
